date,Binance,Bitmex,Ftx
2020-06-05T19:10,542064,542064,542064
2020-06-05T19:20,542064,542064,542064
2020-06-05T19:30,542323,542323,542323
2020-06-05T19:40,542323,542323,542323
2020-06-05T19:50,542407,542407,542407
2020-06-05T20:00,544275,544275,544275
2020-06-05T20:10,544275,544275,544275
2020-06-05T20:20,544410,544410,544410
2020-06-05T20:30,544351,544351,544351
2020-06-05T20:40,544351,544351,544351
2020-06-05T20:50,546389,546389,546389
2020-06-05T21:00,545917,545917,545917
2020-06-05T21:10,545917,545917,545917
2020-06-05T21:20,548982,548982,548982
2020-06-05T21:30,549687,549687,549687
2020-06-05T21:40,549687,549687,549687
2020-06-05T21:50,549648,549648,549648
2020-06-05T22:00,549711,549711,549711
2020-06-05T22:10,549711,549711,549711
2020-06-05T22:20,551374,551374,551374
2020-06-05T22:30,551205,551205,551205
2020-06-05T22:40,551205,551205,551205
2020-06-05T22:50,551399,551399,551399
2020-06-05T23:00,551489,551489,551489
2020-06-05T23:10,551489,551489,551489
2020-06-05T23:20,550215,550215,550215
2020-06-05T23:30,550346,550346,550346
2020-06-05T23:40,550346,550346,550346
2020-06-05T23:50,548609,548609,548609
2020-06-06T00:00,550099,550099,550099
2020-06-06T00:10,550099,550099,550099
2020-06-06T00:20,551992,551992,551992
2020-06-06T00:30,552896,552896,552896
2020-06-06T00:40,552896,552896,552896
2020-06-06T00:50,551297,551297,551297
2020-06-06T01:00,551204,551204,551204
2020-06-06T01:10,551204,551204,551204
2020-06-06T01:20,549949,549949,549949
2020-06-06T01:30,545765,545765,545765
2020-06-06T01:40,545765,545765,545765
2020-06-06T01:50,546880,546880,546880
2020-06-06T02:00,547952,547952,547952
2020-06-06T02:10,547952,547952,547952
2020-06-06T02:20,547141,547141,547141
2020-06-06T02:30,543381,543381,543381
2020-06-06T02:40,543381,543381,543381
2020-06-06T02:50,543905,543905,543905
2020-06-06T03:00,543002,543002,543002
2020-06-06T03:10,543002,543002,543002
2020-06-06T03:20,542466,542466,542466
2020-06-06T03:30,542396,542396,542396
2020-06-06T03:40,542396,542396,542396
2020-06-06T03:50,541750,541750,541750
2020-06-06T04:00,545452,545452,545452
2020-06-06T04:10,545452,545452,545452
2020-06-06T04:20,545504,545504,545504
2020-06-06T04:30,546050,546050,546050
2020-06-06T04:40,546050,546050,546050
2020-06-06T04:50,546794,546794,546794
2020-06-06T05:00,547262,547262,547262
2020-06-06T05:10,547262,547262,547262
2020-06-06T05:20,551780,551780,551780
2020-06-06T05:30,552135,552135,552135
2020-06-06T05:40,552135,552135,552135
2020-06-06T05:50,551073,551073,551073
2020-06-06T06:00,552402,552402,552402
2020-06-06T06:10,552402,552402,552402
2020-06-06T06:20,553445,553445,553445
2020-06-06T06:30,552181,552181,552181
2020-06-06T06:40,552181,552181,552181
2020-06-06T06:50,552052,552052,552052
2020-06-06T07:00,552840,552840,552840
2020-06-06T07:10,552840,552840,552840
2020-06-06T07:20,553726,553726,553726
2020-06-06T07:30,554148,554148,554148
2020-06-06T07:40,554148,554148,554148
2020-06-06T07:50,554430,554430,554430
2020-06-06T08:00,554385,554385,554385
2020-06-06T08:10,554385,554385,554385
2020-06-06T08:20,552845,552845,552845
2020-06-06T08:30,550333,550333,550333
2020-06-06T08:40,550333,550333,550333
2020-06-06T08:50,549465,549465,549465
2020-06-06T09:00,549268,549268,549268
2020-06-06T09:10,549268,549268,549268
2020-06-06T09:20,548024,548024,548024
2020-06-06T09:30,548601,548601,548601
2020-06-06T09:40,548601,548601,548601
2020-06-06T09:50,546682,546682,546682
2020-06-06T10:00,545146,545146,545146
2020-06-06T10:10,545146,545146,545146
2020-06-06T10:20,545383,545383,545383
2020-06-06T10:30,545652,545652,545652
2020-06-06T10:40,545652,545652,545652
2020-06-06T10:50,546047,546047,546047
2020-06-06T11:00,546569,546569,546569
2020-06-06T11:10,546569,546569,546569
2020-06-06T11:20,547033,547033,547033
2020-06-06T11:30,546766,546766,546766
2020-06-06T11:40,546766,546766,546766
2020-06-06T11:50,547288,547288,547288
2020-06-06T12:00,546715,546715,546715
2020-06-06T12:10,546715,546715,546715
2020-06-06T12:20,548145,548145,548145
2020-06-06T12:30,547512,547512,547512
2020-06-06T12:40,547512,547512,547512
2020-06-06T12:50,544366,544366,544366
2020-06-06T13:00,545368,545368,545368
2020-06-06T13:10,545368,545368,545368
2020-06-06T13:20,545214,545214,545214
2020-06-06T13:30,544844,544844,544844
2020-06-06T13:40,544844,544844,544844
2020-06-06T13:50,546194,546194,546194
2020-06-06T14:00,546315,546315,546315
2020-06-06T14:10,546315,546315,546315
2020-06-06T14:20,545867,545867,545867
2020-06-06T14:30,545867,545867,545867
2020-06-06T14:40,543904,543904,543904
2020-06-06T14:50,543352,543352,543352
2020-06-06T15:00,543352,543352,543352
2020-06-06T15:10,541461,541461,541461
2020-06-06T15:20,541684,541684,541684
2020-06-06T15:30,541684,541684,541684
2020-06-06T15:40,541369,541369,541369
2020-06-06T15:50,542099,542099,542099
2020-06-06T16:00,542504,542504,542504
2020-06-06T16:10,542504,542504,542504
2020-06-06T16:20,542512,542512,542512
2020-06-06T16:30,542487,542487,542487
2020-06-06T16:40,542487,542487,542487
2020-06-06T16:50,541428,541428,541428
2020-06-06T17:00,547299,547299,547299
2020-06-06T17:10,547299,547299,547299
2020-06-06T17:20,547793,547793,547793
2020-06-06T17:30,548287,548287,548287
2020-06-06T17:40,548287,548287,548287
2020-06-06T17:50,549186,549186,549186
2020-06-06T18:00,548251,548251,548251
2020-06-06T18:10,548251,548251,548251
2020-06-06T18:20,548429,548429,548429
2020-06-06T18:30,548429,548429,548429
2020-06-06T18:40,548257,548257,548257
2020-06-06T18:50,547966,547966,547966
2020-06-06T19:00,547966,547966,547966
2020-06-06T19:10,546588,546588,546588
2020-06-06T19:20,544478,544478,544478
2020-06-06T19:30,544478,544478,544478
2020-06-06T19:40,544902,544902,544902
2020-06-06T19:50,546631,546631,546631
2020-06-06T20:00,546631,546631,546631
2020-06-06T20:10,546610,546610,546610
2020-06-06T20:20,546939,546939,546939
2020-06-06T20:30,546939,546939,546939
2020-06-06T20:40,547374,547374,547374
2020-06-06T20:50,548033,548033,548033
2020-06-06T21:00,548033,548033,548033
2020-06-06T21:10,549895,549895,549895
2020-06-06T21:20,548975,548975,548975
2020-06-06T21:30,548975,548975,548975
2020-06-06T21:40,547224,547224,547224
2020-06-06T21:50,548427,548427,548427
2020-06-06T22:00,548427,548427,548427
2020-06-06T22:10,547049,547049,547049
2020-06-06T22:20,545730,545730,545730
2020-06-06T22:30,546362,546362,546362
2020-06-06T22:40,546362,546362,546362
2020-06-06T22:50,549019,549019,549019
2020-06-06T23:00,549019,549019,549019
2020-06-06T23:10,550108,550108,550108
2020-06-06T23:20,550027,550027,550027
2020-06-06T23:30,550027,550027,550027
2020-06-06T23:40,550517,550517,550517
2020-06-06T23:50,550826,550826,550826
2020-06-07T00:00,550826,550826,550826
2020-06-07T00:10,552615,552615,552615
2020-06-07T00:20,555656,555656,555656
2020-06-07T00:30,555656,555656,555656
2020-06-07T00:40,558250,558250,558250
2020-06-07T00:50,554619,554619,554619
2020-06-07T01:00,554619,554619,554619
2020-06-07T01:10,565567,565567,565567
2020-06-07T01:20,566650,566650,566650
2020-06-07T01:30,566650,566650,566650
2020-06-07T01:40,567220,567220,567220
2020-06-07T01:50,566544,566544,566544
2020-06-07T02:00,566544,566544,566544
2020-06-07T02:10,566354,566354,566354
2020-06-07T02:20,563663,563663,563663
2020-06-07T02:30,563663,563663,563663
2020-06-07T02:40,562749,562749,562749
2020-06-07T02:50,562956,562956,562956
2020-06-07T03:00,562956,562956,562956
2020-06-07T03:10,563429,563429,563429
2020-06-07T03:20,565716,565716,565716
2020-06-07T03:30,565716,565716,565716
2020-06-07T03:40,567638,567638,567638
2020-06-07T03:50,569406,569406,569406
2020-06-07T04:00,569406,569406,569406
2020-06-07T04:10,571178,571178,571178
2020-06-07T04:20,572880,572880,572880
2020-06-07T04:30,572880,572880,572880
2020-06-07T04:40,572491,572491,572491
2020-06-07T04:50,573002,573002,573002
2020-06-07T05:00,573002,573002,573002
2020-06-07T05:10,572037,572037,572037
2020-06-07T05:20,571924,571924,571924
2020-06-07T05:30,571924,571924,571924
2020-06-07T05:40,572017,572017,572017
2020-06-07T05:50,572308,572308,572308
2020-06-07T06:00,572308,572308,572308
2020-06-07T06:10,571869,571869,571869
2020-06-07T06:20,572456,572456,572456
2020-06-07T06:30,572456,572456,572456
2020-06-07T06:40,573042,573042,573042
2020-06-07T06:50,569842,569842,569842
2020-06-07T07:00,569842,569842,569842
2020-06-07T07:10,569895,569895,569895
2020-06-07T07:20,569818,569818,569818
2020-06-07T07:30,569818,569818,569818
2020-06-07T07:40,570202,570202,570202
2020-06-07T07:50,570831,570831,570831
2020-06-07T08:00,570831,570831,570831
2020-06-07T08:10,571227,571227,571227
2020-06-07T08:20,571093,571093,571093
2020-06-07T08:30,571093,571093,571093
2020-06-07T08:40,571791,571791,571791
2020-06-07T08:50,569934,569934,569934
2020-06-07T09:00,569934,569934,569934
2020-06-07T09:10,569307,569307,569307
2020-06-07T09:20,570024,570024,570024
2020-06-07T09:30,570024,570024,570024
2020-06-07T09:40,573384,573384,573384
2020-06-07T09:50,573568,573568,573568
2020-06-07T10:00,573568,573568,573568
2020-06-07T10:10,573231,573231,573231
2020-06-07T10:20,573610,573610,573610
2020-06-07T10:30,573610,573610,573610
2020-06-07T10:40,571530,571530,571530
2020-06-07T10:50,572371,572371,572371
2020-06-07T11:00,572371,572371,572371
2020-06-07T11:10,572212,572212,572212
2020-06-07T11:20,592282,592282,592282
2020-06-07T11:30,592282,592282,592282
2020-06-07T11:40,593077,593077,593077
2020-06-07T11:50,593869,593869,593869
2020-06-07T12:00,593869,593869,593869
2020-06-07T12:10,594846,594846,594846
2020-06-07T12:20,593332,593332,593332
2020-06-07T12:30,593332,593332,593332
2020-06-07T12:40,594534,594534,594534
2020-06-07T12:50,595725,595725,595725
2020-06-07T13:00,595725,595725,595725
2020-06-07T13:10,595833,595833,595833
2020-06-07T13:20,599859,599859,599859
2020-06-07T13:30,599859,599859,599859
2020-06-07T13:40,600781,600781,600781
2020-06-07T13:50,598752,598752,598752
2020-06-07T14:00,598752,598752,598752
2020-06-07T14:10,598049,598049,598049
2020-06-07T14:20,609098,609098,609098
2020-06-07T14:30,609098,609098,609098
2020-06-07T14:40,608038,608038,608038
2020-06-07T14:50,608108,608108,608108
2020-06-07T15:00,608108,608108,608108
2020-06-07T15:10,610657,610657,610657
2020-06-07T15:20,612282,612282,612282
2020-06-07T15:30,612282,612282,612282
2020-06-07T15:40,612128,612128,612128
2020-06-07T15:50,614267,614267,614267
2020-06-07T16:00,614267,614267,614267
2020-06-07T16:10,616874,616874,616874
2020-06-07T16:20,617325,617325,617325
2020-06-07T16:30,617325,617325,617325
2020-06-07T16:40,616228,616228,616228
2020-06-07T16:50,620482,620482,620482
2020-06-07T17:00,620482,620482,620482
2020-06-07T17:10,620856,620856,620856
2020-06-07T17:20,621668,621668,621668
2020-06-07T17:30,621668,621668,621668
